Date,Open,High,Low,Close,Volume
2021-11-03 13:27:35.743319,2011.9328766689516,2026.044630312922,1999.8370878312626,2015.9648062815147,4859879
2021-11-04 13:27:35.743319,2008.7686565476888,2022.858216262953,1996.6918910774623,2012.7942450377643,2590545
2021-11-05 13:27:35.743319,2029.3940556435227,2043.6282824867135,2017.1932897779302,2033.46097759872,2408802
2021-11-08 13:27:35.743319,2077.328517424157,2091.898957927132,2064.839568421607,2081.491500425007,2048075
2021-11-09 13:27:35.743319,2071.080394777872,2085.6070107733076,2058.6290096389266,2075.2308564908535,993948
2021-11-10 13:27:35.743319,2064.8515735401033,2079.334500408621,2052.437636224231,2068.9895526453943,4668962
2021-11-11 13:27:35.743319,2115.405540092224,2130.243053900486,2102.6876711137133,2119.6448297517272,4244085
2021-11-12 13:27:35.743319,2140.9679926570225,2155.9848022247565,2128.0964415989642,2145.258509676375,1280641
2021-11-15 13:27:35.743319,2127.007248343811,2141.9261368592483,2114.219629616293,2131.2697879196503,4966134
2021-11-16 13:27:35.743319,2145.460778890605,2160.509100987032,2132.5622170936676,2149.760299489584,2054205
2021-11-17 13:27:35.743319,2131.6643919433636,2146.6159457946696,2118.8487743565297,2135.9362644723083,2204597
2021-11-18 13:27:35.743319,2117.8832712757544,2132.738163960053,2105.1505061177836,2122.127526328411,4265689
2021-11-19 13:27:35.743319,2126.647012812855,2141.5633746261715,2113.861559830012,2130.9088304738025,3051331
2021-11-22 13:27:35.743319,2067.5149179682853,2082.016525609345,2055.084968561662,2071.6582344371595,3627748
2021-11-23 13:27:35.743319,2015.7142434948755,2029.8525197518534,2003.5957209888943,2019.7537509968693,1335036
2021-11-24 13:27:35.743319,1999.7842163729067,2013.8107589727165,1987.7614655730697,2003.7917999728525,2869822
2021-11-25 13:27:35.743319,1970.6172452185644,1984.4392098643857,1958.7698469507172,1974.5663779745134,4501070
2021-11-26 13:27:35.743319,1980.9183020615333,1994.8125186090588,1969.0089735922254,1984.8880782179692,2888278
2021-11-29 13:27:35.743319,1955.097696800583,1968.8108068983825,1943.3436024310404,1959.0157282570972,3383791
2021-11-30 13:27:35.743319,1915.0727461498675,1928.5051201208585,1903.559282746161,1918.9105672844364,4680413
2021-12-01 13:27:35.743319,1958.6203865584782,1972.3582049010724,1946.845113693397,1962.5454775135051,3996605
2021-12-02 13:27:35.743319,1952.9746982456425,1966.6729175720145,1941.2333673944663,1956.8884751960345,1805487
2021-12-03 13:27:35.743319,1955.9316349672392,1969.6505943307366,1944.172526941384,1959.8513376425242,808623
2021-12-06 13:27:35.743319,1915.532011340726,1928.9676066106508,1904.0157868236477,1919.370752846419,4147371
2021-12-07 13:27:35.743319,1900.9041775412695,1914.2371727745247,1889.4758959127648,1904.713604750771,3796903
2021-12-08 13:27:35.743319,1905.0218812594594,1918.3837581821208,1893.568843897178,1908.8395603802198,2768115
2021-12-09 13:27:35.743319,1873.3505977518632,1886.490331403429,1862.0879689076635,1877.1048073665963,1690402
2021-12-10 13:27:35.743319,1884.8798170834884,1898.1004170029116,1873.5478742954115,1888.657131346181,1647116
2021-12-13 13:27:35.743319,1868.9083325262038,1882.0169080048443,1857.672410687369,1872.6536398058154,3456566
2021-12-14 13:27:35.743319,1861.679569742934,1874.7374424766017,1850.4871073997901,1865.410390523982,4272763
2021-12-15 13:27:35.743319,1845.875102927956,1858.8221226879716,1834.777657419371,1849.5742514308176,810375
2021-12-16 13:27:35.743319,1898.8295088069158,1912.1479522554612,1887.413700136734,1902.6347783636431,2626453
2021-12-17 13:27:35.743319,1899.394573693023,1912.7169805225328,1887.975367839157,1903.2009756443115,1771300
2021-12-20 13:27:35.743319,1870.432197902774,1883.5514618159195,1859.187114548649,1874.1805590208157,4159731
2021-12-21 13:27:35.743319,1894.5999341765607,1907.8887112699833,1883.2095538107699,1898.3967276318244,4888087
2021-12-22 13:27:35.743319,1861.1508723735783,1874.205036809064,1849.961588571733,1864.88063364086,4342411
2021-12-23 13:27:35.743319,1867.9246446916638,1881.0263205562344,1856.694636807746,1871.6679806529698,1515416
2021-12-24 13:27:35.743319,1814.7231960702973,1827.4517154816117,1803.8130365748846,1818.3599159021014,2814181
2021-12-27 13:27:35.743319,1779.8162992335886,1792.2999806911387,1769.1160008414026,1783.3830653643172,3904231
2021-12-28 13:27:35.743319,1785.9724822101757,1798.499343307842,1775.2351726978902,1789.5515853809377,3765696
2021-12-29 13:27:35.743319,1806.7688306925183,1819.4415579619047,1795.9064930330444,1810.389609912343,4705003
2021-12-30 13:27:35.743319,1812.325084083096,1825.0367830696507,1801.4293420946206,1815.9569980792546,3841861
2021-12-31 13:27:35.743319,1810.08874329479,1822.7847565243123,1799.2064462409135,1813.716175646082,3115804
2022-01-03 13:27:35.743319,1802.8330028136706,1815.4781240758907,1791.9943274460534,1806.4458946028765,4812717
2022-01-04 13:27:35.743319,1764.1720524505101,1776.546004722207,1753.5658076461984,1767.7074673852808,2482243
